epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,760.119,0.73609,0.55414,1.06355,0.79213,0.82424,0.85846,0.69961,0.72575,0.66847,1.05635,0.000456863,0.000456863,0.000456863
43,778.251,0.72983,0.55534,1.05651,0.80559,0.79385,0.86027,0.69895,0.73261,0.6876,1.07198,0.00044925,0.00044925,0.00044925
44,796.192,0.7265,0.55318,1.05752,0.81548,0.80647,0.86562,0.70827,0.73447,0.64928,1.06342,0.000441637,0.000441637,0.000441637
45,814.122,0.73292,0.54433,1.05836,0.7908,0.78808,0.82684,0.67172,0.7324,0.72874,1.06357,0.000434024,0.000434024,0.000434024
46,834.116,0.71972,0.52699,1.05069,0.80402,0.80494,0.85739,0.70047,0.73157,0.67837,1.06617,0.000426411,0.000426411,0.000426411
47,853.233,0.70888,0.51767,1.04199,0.78132,0.81863,0.85455,0.69924,0.72099,0.68036,1.0497,0.000418797,0.000418797,0.000418797
48,870.408,0.70503,0.51901,1.04932,0.78362,0.82777,0.8553,0.70213,0.71783,0.68967,1.0491,0.000411184,0.000411184,0.000411184
49,888.295,0.708,0.51384,1.04853,0.82788,0.80004,0.86253,0.7084,0.72497,0.67561,1.05821,0.000403571,0.000403571,0.000403571
50,906.609,0.69656,0.51059,1.0419,0.78857,0.80746,0.84267,0.6907,0.71863,0.69991,1.04961,0.000395958,0.000395958,0.000395958
51,923.549,0.69983,0.51437,1.045,0.79594,0.79132,0.83587,0.68064,0.72563,0.74224,1.06457,0.000388345,0.000388345,0.000388345
52,942.56,0.69001,0.51068,1.03708,0.77072,0.80821,0.84689,0.69579,0.71078,0.73503,1.0516,0.000380732,0.000380732,0.000380732
53,959.8,0.68953,0.50435,1.03683,0.79764,0.8268,0.86373,0.71021,0.70804,0.686,1.04917,0.000373119,0.000373119,0.000373119
54,978.735,0.69675,0.50304,1.04252,0.81704,0.82533,0.86147,0.70696,0.71324,0.67121,1.05416,0.000365506,0.000365506,0.000365506
55,996.329,0.691,0.49312,1.03655,0.81099,0.81608,0.85357,0.69703,0.71799,0.69985,1.05698,0.000357893,0.000357893,0.000357893
56,1014.18,0.68381,0.48784,1.03578,0.81061,0.81658,0.85543,0.70097,0.7136,0.67998,1.04916,0.00035028,0.00035028,0.00035028
57,1031.3,0.67654,0.48641,1.03496,0.82969,0.82334,0.86666,0.71173,0.70434,0.63378,1.04953,0.000342666,0.000342666,0.000342666
58,1051.8,0.67513,0.47423,1.02834,0.79097,0.83511,0.85392,0.7015,0.71011,0.6792,1.05792,0.000335053,0.000335053,0.000335053
59,1069.34,0.6728,0.47758,1.03336,0.81421,0.80876,0.8548,0.70462,0.70858,0.6997,1.04854,0.00032744,0.00032744,0.00032744
60,1087.46,0.67332,0.4728,1.03214,0.81318,0.84211,0.87635,0.72031,0.70564,0.65774,1.05013,0.000319827,0.000319827,0.000319827
61,1104.67,0.66602,0.46841,1.02607,0.83329,0.81164,0.87785,0.7278,0.69685,0.66156,1.04579,0.000312214,0.000312214,0.000312214
62,1122.37,0.66088,0.47193,1.03471,0.832,0.82655,0.86746,0.71458,0.71286,0.67327,1.04874,0.000304601,0.000304601,0.000304601
63,1141.05,0.65751,0.46974,1.02531,0.81232,0.80056,0.8592,0.71441,0.7032,0.69307,1.04787,0.000296988,0.000296988,0.000296988
64,1158.85,0.66013,0.46574,1.0236,0.79657,0.83869,0.86137,0.71011,0.71781,0.67069,1.05887,0.000289375,0.000289375,0.000289375
65,1177.06,0.65569,0.45583,1.02736,0.7874,0.84611,0.85864,0.71105,0.7002,0.67634,1.0429,0.000281762,0.000281762,0.000281762
66,1194.67,0.65291,0.45653,1.02361,0.81339,0.84926,0.86716,0.71811,0.7023,0.6392,1.04431,0.000274148,0.000274148,0.000274148
67,1210.93,0.63852,0.44818,1.0181,0.82864,0.83275,0.87326,0.7243,0.70127,0.64937,1.04599,0.000266535,0.000266535,0.000266535
68,1229.24,0.63903,0.44053,1.01529,0.80364,0.85854,0.87574,0.72378,0.70394,0.65711,1.04512,0.000258922,0.000258922,0.000258922
69,1248.39,0.62863,0.42897,1.006,0.83149,0.81719,0.86433,0.7171,0.70319,0.64013,1.04944,0.000251309,0.000251309,0.000251309
70,1266.93,0.63473,0.43862,1.01522,0.8458,0.80109,0.87276,0.72536,0.69264,0.66367,1.0349,0.000243696,0.000243696,0.000243696
71,1287.05,0.62961,0.43009,1.00737,0.79029,0.8614,0.86798,0.71771,0.70622,0.65244,1.04726,0.000236083,0.000236083,0.000236083
72,1305.61,0.62559,0.42711,1.01531,0.82279,0.84275,0.87133,0.72309,0.70286,0.63291,1.04468,0.00022847,0.00022847,0.00022847
73,1324.04,0.62152,0.42307,1.00723,0.80599,0.84617,0.85988,0.71079,0.70724,0.66484,1.0473,0.000220857,0.000220857,0.000220857
74,1342.06,0.61218,0.41984,1.00047,0.81424,0.84209,0.85338,0.70939,0.69563,0.66092,1.04062,0.000213244,0.000213244,0.000213244
75,1360.33,0.61954,0.4193,1.00536,0.80482,0.84703,0.85727,0.71189,0.6886,0.67436,1.03626,0.000205631,0.000205631,0.000205631
76,1378.9,0.60892,0.41689,1.0002,0.79572,0.85342,0.85978,0.71215,0.69274,0.66386,1.04391,0.000198018,0.000198018,0.000198018
77,1396.81,0.60535,0.40986,1.00077,0.77699,0.84717,0.85417,0.70907,0.70266,0.67291,1.05197,0.000190404,0.000190404,0.000190404
78,1413.69,0.60438,0.40802,1.00109,0.81899,0.82742,0.86182,0.71974,0.68893,0.64854,1.03702,0.000182791,0.000182791,0.000182791
79,1431.05,0.59887,0.40192,0.99451,0.83732,0.81799,0.8626,0.71601,0.69407,0.66967,1.04372,0.000175178,0.000175178,0.000175178
80,1448.18,0.60268,0.40818,0.99541,0.80349,0.85058,0.86428,0.71498,0.6897,0.66473,1.04156,0.000167565,0.000167565,0.000167565
81,1466.28,0.59483,0.39915,0.99556,0.82416,0.83413,0.86416,0.71783,0.68844,0.65964,1.04018,0.000159952,0.000159952,0.000159952
82,1484.54,0.59007,0.39898,0.99851,0.82867,0.81569,0.86843,0.72215,0.69044,0.64946,1.0439,0.000152339,0.000152339,0.000152339
83,1503.31,0.58567,0.39381,0.99458,0.81673,0.84292,0.86808,0.72168,0.69307,0.64176,1.04402,0.000144726,0.000144726,0.000144726
84,1522.09,0.58482,0.39158,0.99015,0.83204,0.82535,0.86319,0.71851,0.6875,0.65049,1.04221,0.000137113,0.000137113,0.000137113
85,1541.89,0.57631,0.3926,0.98677,0.8497,0.81009,0.86201,0.71952,0.694,0.64001,1.04785,0.0001295,0.0001295,0.0001295
86,1561.88,0.57148,0.38422,0.9882,0.83188,0.81912,0.86233,0.7205,0.68455,0.6504,1.04189,0.000121887,0.000121887,0.000121887
87,1581.44,0.56294,0.38183,0.98422,0.83865,0.81721,0.86014,0.71953,0.68264,0.65756,1.04027,0.000114273,0.000114273,0.000114273
88,1600.23,0.57116,0.38094,0.98488,0.83051,0.81377,0.85705,0.7171,0.68606,0.6477,1.04138,0.00010666,0.00010666,0.00010666
89,1617.82,0.56032,0.37161,0.97833,0.8375,0.80473,0.85045,0.71322,0.6885,0.66248,1.03937,9.90472e-05,9.90472e-05,9.90472e-05
90,1636.38,0.56173,0.37472,0.98313,0.85024,0.79184,0.84963,0.70913,0.68849,0.67373,1.04282,9.14341e-05,9.14341e-05,9.14341e-05
91,1654.7,0.44128,0.26774,0.9087,0.82121,0.83031,0.85127,0.70662,0.69414,0.68109,1.05897,8.3821e-05,8.3821e-05,8.3821e-05
92,1672.28,0.42936,0.25398,0.89907,0.80336,0.84345,0.85176,0.70725,0.69614,0.68478,1.05627,7.62079e-05,7.62079e-05,7.62079e-05
93,1689.61,0.42062,0.24719,0.89118,0.84674,0.80558,0.85369,0.71442,0.68975,0.67018,1.0549,6.85948e-05,6.85948e-05,6.85948e-05
94,1707.3,0.41877,0.24392,0.89372,0.82416,0.8273,0.85765,0.71294,0.69021,0.66811,1.04882,6.09817e-05,6.09817e-05,6.09817e-05
95,1725.38,0.41219,0.23872,0.89009,0.81064,0.84902,0.86075,0.7174,0.69503,0.66834,1.05391,5.33686e-05,5.33686e-05,5.33686e-05
96,1744.75,0.40294,0.2347,0.87805,0.83151,0.83235,0.86373,0.71914,0.69157,0.66413,1.05151,4.57555e-05,4.57555e-05,4.57555e-05
97,1763.94,0.40136,0.23366,0.88591,0.82795,0.83181,0.86261,0.71826,0.69493,0.67177,1.05379,3.81424e-05,3.81424e-05,3.81424e-05
98,1782.77,0.39837,0.22847,0.88898,0.82145,0.83639,0.85919,0.7163,0.69457,0.67252,1.05573,3.05293e-05,3.05293e-05,3.05293e-05
99,1801.52,0.3957,0.22638,0.87656,0.82874,0.83087,0.85712,0.71503,0.69435,0.66576,1.05493,2.29162e-05,2.29162e-05,2.29162e-05
100,1819.31,0.39275,0.22624,0.87818,0.85202,0.80984,0.85669,0.71564,0.69563,0.66583,1.05713,1.53031e-05,1.53031e-05,1.53031e-05
