epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,821.78,0.7295,0.56013,1.06192,0.80963,0.81468,0.85172,0.69562,0.73461,0.6809,1.06608,0.000508886,0.000508886,0.000508886
43,841.904,0.72996,0.54993,1.06119,0.78656,0.82128,0.83312,0.68156,0.7425,0.72353,1.08215,0.000502541,0.000502541,0.000502541
44,861.06,0.7194,0.5355,1.05321,0.79235,0.81732,0.85249,0.69146,0.7367,0.70957,1.06165,0.000496197,0.000496197,0.000496197
45,880.397,0.72832,0.5459,1.05712,0.83663,0.79778,0.84003,0.6838,0.7269,0.6992,1.06714,0.000489853,0.000489853,0.000489853
46,899.424,0.71831,0.52597,1.05196,0.82145,0.82458,0.85905,0.70441,0.73198,0.68924,1.06886,0.000483509,0.000483509,0.000483509
47,918.2,0.70621,0.51284,1.04284,0.82016,0.82559,0.84787,0.69586,0.72861,0.68846,1.06643,0.000477165,0.000477165,0.000477165
48,936.839,0.70381,0.5118,1.05171,0.8132,0.79236,0.83162,0.67771,0.73638,0.732,1.0717,0.00047082,0.00047082,0.00047082
49,955.838,0.704,0.51543,1.04682,0.80722,0.80614,0.84878,0.69953,0.72983,0.702,1.05778,0.000464476,0.000464476,0.000464476
50,976.197,0.69809,0.51297,1.04479,0.81573,0.82173,0.85552,0.70473,0.72369,0.68596,1.05881,0.000458132,0.000458132,0.000458132
51,996.334,0.69944,0.5071,1.04611,0.83428,0.8146,0.86154,0.70499,0.72958,0.6746,1.05945,0.000451787,0.000451787,0.000451787
52,1017.01,0.68793,0.50244,1.03834,0.80492,0.78646,0.85014,0.69387,0.73278,0.73705,1.05917,0.000445443,0.000445443,0.000445443
53,1037.37,0.68922,0.49704,1.03852,0.82702,0.81371,0.85287,0.70854,0.70618,0.69544,1.04358,0.000439099,0.000439099,0.000439099
54,1057.1,0.6826,0.49346,1.03636,0.83504,0.7999,0.84689,0.6999,0.71459,0.7115,1.0575,0.000432755,0.000432755,0.000432755
55,1075.96,0.68855,0.48988,1.03697,0.79838,0.81401,0.83978,0.69567,0.71022,0.7134,1.0577,0.000426411,0.000426411,0.000426411
56,1095,0.67853,0.48865,1.03054,0.79436,0.81552,0.83945,0.69021,0.72536,0.72034,1.05881,0.000420066,0.000420066,0.000420066
57,1114.48,0.675,0.48145,1.03534,0.78967,0.8228,0.84343,0.69577,0.71908,0.71832,1.04833,0.000413722,0.000413722,0.000413722
58,1133.57,0.66463,0.46652,1.02589,0.81497,0.80892,0.84421,0.69778,0.709,0.72956,1.0491,0.000407378,0.000407378,0.000407378
59,1151.97,0.6705,0.47887,1.03335,0.83281,0.806,0.86632,0.71959,0.71752,0.66102,1.05857,0.000401033,0.000401033,0.000401033
60,1172.55,0.66743,0.47041,1.03094,0.81999,0.80983,0.86494,0.71475,0.70007,0.69119,1.04761,0.000394689,0.000394689,0.000394689
61,1193.66,0.66143,0.4694,1.02776,0.83706,0.80193,0.86571,0.71466,0.70885,0.65849,1.05723,0.000388345,0.000388345,0.000388345
62,1214.79,0.64611,0.45878,1.02811,0.81729,0.8345,0.8664,0.71679,0.70037,0.6878,1.04385,0.000382001,0.000382001,0.000382001
63,1234.62,0.64851,0.46082,1.02406,0.83072,0.81363,0.85852,0.71083,0.70509,0.71043,1.05438,0.000375656,0.000375656,0.000375656
64,1254.91,0.65382,0.4618,1.02534,0.82012,0.80821,0.8442,0.69916,0.71077,0.7093,1.05775,0.000369312,0.000369312,0.000369312
65,1273.41,0.65047,0.45064,1.02469,0.8306,0.81321,0.85567,0.71305,0.69362,0.69663,1.03509,0.000362968,0.000362968,0.000362968
66,1292.97,0.64525,0.45461,1.02003,0.81181,0.81206,0.84779,0.70379,0.70495,0.69888,1.04545,0.000356624,0.000356624,0.000356624
67,1311.62,0.62916,0.44095,1.01431,0.82859,0.8201,0.86056,0.71499,0.70088,0.66952,1.04775,0.00035028,0.00035028,0.00035028
68,1332.34,0.62856,0.42796,1.0147,0.83694,0.81519,0.86005,0.71359,0.71731,0.68606,1.05746,0.000343935,0.000343935,0.000343935
69,1352.58,0.618,0.42861,1.0027,0.84773,0.83128,0.87311,0.72996,0.6997,0.65452,1.04639,0.000337591,0.000337591,0.000337591
70,1371.12,0.6297,0.43343,1.0149,0.84143,0.79971,0.86596,0.72128,0.70067,0.6839,1.04954,0.000331247,0.000331247,0.000331247
71,1389.97,0.61867,0.42441,1.00413,0.85987,0.80141,0.8684,0.72523,0.69545,0.67334,1.04457,0.000324903,0.000324903,0.000324903
72,1409.88,0.61741,0.42377,1.01257,0.80215,0.83238,0.84875,0.71016,0.69498,0.7124,1.04127,0.000318558,0.000318558,0.000318558
73,1429.36,0.6137,0.42015,1.00208,0.81548,0.79828,0.84419,0.70612,0.70009,0.73418,1.04388,0.000312214,0.000312214,0.000312214
